"","Date","Oil Production Growth","Economic Activity Index","Real Oil Price"
"1",1971-01-01,2.3080443,19.222673,-77.424744
"2",1971-02-01,-0.65113077,-1.063344,-77.424744
"3",1971-03-01,0.70622846,-2.6791255,-77.675057
"4",1971-04-01,-0.6248442,-7.7967089,-77.924745
"5",1971-05-01,0.88894786,-14.743468,-78.422259
"6",1971-06-01,-2.5327952,-43.903572,-78.917309
"7",1971-07-01,0.53675711,-53.18,-79.163919
"8",1971-08-01,-2.1770859,-59.514494,-79.409921
"9",1971-09-01,2.6806347,-39.053156,-79.65532
"10",1971-10-01,-0.72004326,-53.256191,-79.900118
"11",1971-11-01,2.1383661,-30.356536,-80.144319
"12",1971-12-01,0.80931567,-36.058577,-80.387924
"13",1972-01-01,1.8319208,-53.327003,-80.630938
"14",1972-02-01,-0.24948859,-64.489036,-81.1152
"15",1972-03-01,-1.0227675,-69.214212,-81.1152
"16",1972-04-01,2.5588628,-53.392512,-81.356455
"17",1972-05-01,-2.8354916,-59.721677,-81.597129
"18",1972-06-01,-2.2636933,-64.33105,-81.837225
"19",1972-07-01,0.97191662,-47.733757,-82.076746
"20",1972-08-01,6.5319907,-57.605351,-82.315695
"21",1972-09-01,0.48007942,6.2976367,-82.791886
"22",1972-10-01,1.14931,8.8153983,-83.029134
"23",1972-11-01,0.92983326,9.7794495,-83.501948
"24",1972-12-01,0.54966034,20.866005,-83.73752
"25",1973-01-01,2.2422654,29.047426,-84.207004
"26",1973-02-01,0.99468643,34.74176,-84.907123
"27",1973-03-01,0.11833242,40.21425,-85.833056
"28",1973-04-01,0.098190745,42.688192,-86.521922
"29",1973-05-01,2.3143018,46.812539,-86.978544
"30",1973-06-01,-1.0865898,50.749821,-87.659591
"31",1973-07-01,3.0676168,51.668928,-87.659591
"32",1973-08-01,-1.1668408,56.401772,-70.335625
"33",1973-09-01,1.7515419,61.901354,-70.779085
"34",1973-10-01,-1.9569133,73.158977,-71.660148
"35",1973-11-01,-4.8539231,71.671511,-72.315888
"36",1973-12-01,0.76300449,75.486702,-73.183572
"37",1974-01-01,2.205354,71.501928,11.001017
"38",1974-02-01,0.84544111,63.672472,36.03823
"39",1974-03-01,0.77221458,67.455795,37.210599
"40",1974-04-01,1.3037694,61.9631,36.506332
"41",1974-05-01,0.29592015,69.252224,37.803242
"42",1974-06-01,-0.73499887,59.460018,37.290547
"43",1974-07-01,-1.9223328,49.530802,34.277858
"44",1974-08-01,-2.6235094,47.364001,32.517428
"45",1974-09-01,0.99259696,47.696931,29.934253
"46",1974-10-01,0.31363396,48.01758,28.426341
"47",1974-11-01,0.13633141,46.373914,28.171427
"48",1974-12-01,-0.89311647,25.53068,29.685587
"49",1975-01-01,-3.98564,10.463205,28.527142
"50",1975-02-01,-1.9305609,3.841165,30.124277
"51",1975-03-01,-0.15950825,-9.7486275,31.491754
"52",1975-04-01,-0.74036551,-23.373594,30.963154
"53",1975-05-01,0.46127272,-25.997478,30.849975
"54",1975-06-01,2.528282,-18.953737,36.520323
"55",1975-07-01,2.6317294,-23.728152,34.738475
"56",1975-08-01,2.1557487,-27.387868,35.924569
"57",1975-09-01,3.1335769,-16.578749,33.704726
"58",1975-10-01,-9.4323329,-16.190664,37.477966
"59",1975-11-01,3.508533,-7.6777492,39.311035
"60",1975-12-01,1.3611069,-17.733673,37.228996
"61",1976-01-01,-1.4522591,-27.515574,25.890376
"62",1976-02-01,2.6951236,-31.818797,25.635652
"63",1976-03-01,2.4961056,-14.762448,27.324865
"64",1976-04-01,-1.8273821,-11.594919,26.254284
"65",1976-05-01,0.42801202,-3.7373994,25.87019
"66",1976-06-01,3.2825535,-1.3343038,25.860517
"67",1976-07-01,0.6022827,-5.5094597,25.555099
"68",1976-08-01,0.70863805,-7.5229023,25.546661
"69",1976-09-01,1.5546197,-8.1314417,24.21119
"70",1976-10-01,3.063349,-5.0230112,23.840186
"71",1976-11-01,0.93391399,-3.8926011,24.16029
"72",1976-12-01,2.4723156,-17.492715,24.597862
"73",1977-01-01,-9.0118792,-30.065103,26.961511
"74",1977-02-01,6.7144089,-26.030186,28.670792
"75",1977-03-01,0.81617174,-26.31481,28.441918
"76",1977-04-01,-1.5667931,-24.515263,26.527079
"77",1977-05-01,-3.1967567,-17.49876,27.98877
"78",1977-06-01,1.5378806,-21.717668,27.560028
"79",1977-07-01,-1.9101389,-25.179778,25.758253
"80",1977-08-01,1.4234507,-27.700426,26.91449
"81",1977-09-01,2.098413,-27.807221,25.354069
"82",1977-10-01,-0.21301736,-15.06392,25.27879
"83",1977-11-01,1.9212488,-15.491168,24.974134
"84",1977-12-01,2.0241193,-19.387648,25.5129
"85",1978-01-01,-9.0537289,-19.807647,23.233598
"86",1978-02-01,2.6505599,-20.064973,21.995718
"87",1978-03-01,0.87445025,-20.477883,22.467214
"88",1978-04-01,1.5208543,-21.043431,20.507853
"89",1978-05-01,-1.7010569,-7.3155573,20.334196
"90",1978-06-01,2.3636426,-3.3293867,19.768501
"91",1978-07-01,-0.7102249,-9.8045861,18.657711
"92",1978-08-01,1.3466544,-10.193413,17.841628
"93",1978-09-01,3.5124343,-1.4173265,17.418261
